Date;Apple_Adjusted_Stock_Price;PG_Adjusted_Stock_Price
1/6/2013;44.44;65.71
1/7/2013;50.71;68.54
1/8/2013;54.60;66.98
1/9/2013;56.00;65.00
1/10/2013;61.40;69.44
1/11/2013;65.32;72.99
1/12/2013;68.69;70.55
1/1/2014;61.29;66.40
1/2/2014;64.43;68.68
1/3/2014;68.57;70.38
1/4/2014;75.39;72.08
1/5/2014;80.87;71.11
1/6/2014;86.47;69.17
1/7/2014;88.95;68.05
1/8/2014;95.37;73.73
1/9/2014;94.21;74.29
1/10/2014;100.99;77.42
1/11/2014;111.21;80.84
1/12/2014;103.66;81.43
1/1/2015;110.03;75.35
1/2/2015;120.64;76.64
1/3/2015;117.32;73.77
1/4/2015;118.00;71.58
1/5/2015;122.84;71.14
1/6/2015;118.76;71.01
1/7/2015;114.85;69.61
1/8/2015;106.91;64.66
1/9/2015;104.91;65.82
1/10/2015;113.66;69.89
1/11/2015;112.51;69.09
1/12/2015;100.54;73.31
1/1/2016;92.98;75.42
1/2/2016;92.35;74.77
1/3/2016;104.67;76.65
1/4/2016;90.02;74.61
1/5/2016;95.90;76.09
1/6/2016;92.37;79.49
1/7/2016;100.69;80.36
1/8/2016;102.51;82.62
1/9/2016;109.82;84.92
1/10/2016;110.30;82.13
1/11/2016;107.36;78.63
1/12/2016;113.09;80.17
1/1/2017;118.49;83.53
1/2/2017;133.76;87.53
1/3/2017;140.88;86.35
1/4/2017;140.87;83.93
1/5/2017;149.80;85.31
1/6/2017;141.82;84.40
1/7/2017;146.45;87.95
1/8/2017;161.49;90.06
1/9/2017;152.36;88.80
1/10/2017;167.11;84.27
1/11/2017;169.88;88.49
1/12/2017;167.90;90.35
1/1/2018;166.11;84.90
1/2/2018;176.72;77.80
1/3/2018;167.14;78.55
1/4/2018;164.63;71.68
1/5/2018;187.86;74.31
